,solar_cycle,date
31,Solar cycle 11,1869-10
32,Solar cycle 11,1869-11
33,Solar cycle 11,1869-12
34,Solar cycle 11,1870-01
35,Solar cycle 11,1870-02
36,Solar cycle 11,1870-03
37,Solar cycle 11,1870-04
38,Solar cycle 11,1870-05
39,Solar cycle 11,1870-06
40,Solar cycle 11,1870-07
41,Solar cycle 11,1870-08
0,Solar cycle 12,1878-12
1,Solar cycle 12,1879-01
2,Solar cycle 12,1879-02
3,Solar cycle 12,1879-03
4,Solar cycle 12,1879-04
5,Solar cycle 12,1879-05
6,Solar cycle 12,1879-06
7,Solar cycle 12,1879-07
8,Solar cycle 12,1879-08
9,Solar cycle 12,1879-09
10,Solar cycle 12,1879-10
11,Solar cycle 12,1879-11
12,Solar cycle 12,1879-12
13,Solar cycle 12,1880-01
14,Solar cycle 12,1880-02
15,Solar cycle 12,1880-03
16,Solar cycle 12,1880-04
17,Solar cycle 12,1880-05
18,Solar cycle 12,1880-06
19,Solar cycle 12,1880-07
20,Solar cycle 12,1880-08
21,Solar cycle 12,1880-09
22,Solar cycle 12,1880-10
23,Solar cycle 12,1880-11
24,Solar cycle 12,1880-12
25,Solar cycle 12,1881-01
26,Solar cycle 12,1881-02
27,Solar cycle 12,1881-03
28,Solar cycle 12,1881-04
29,Solar cycle 12,1881-05
30,Solar cycle 12,1881-06
31,Solar cycle 12,1881-07
32,Solar cycle 12,1881-08
33,Solar cycle 12,1881-09
34,Solar cycle 12,1881-10
35,Solar cycle 12,1881-11
36,Solar cycle 12,1881-12
37,Solar cycle 12,1882-01
38,Solar cycle 12,1882-02
39,Solar cycle 12,1882-03
40,Solar cycle 12,1882-04
41,Solar cycle 12,1882-05
42,Solar cycle 12,1882-06
43,Solar cycle 12,1882-07
44,Solar cycle 12,1882-08
45,Solar cycle 12,1882-09
46,Solar cycle 12,1882-10
47,Solar cycle 12,1882-11
48,Solar cycle 12,1882-12
49,Solar cycle 12,1883-01
50,Solar cycle 12,1883-02
51,Solar cycle 12,1883-03
52,Solar cycle 12,1883-04
53,Solar cycle 12,1883-05
54,Solar cycle 12,1883-06
55,Solar cycle 12,1883-07
